step,action,position_state,balance,equity,drawdown_pct
31,BUY,1,10000.0,9999.95,0.0005
32,SELL,-1,10001.09,10001.04,0.0
33,SELL,-1,10001.09,10008.79,0.0
34,SELL,-1,10001.09,10016.66,0.0
35,SELL,-1,10001.09,10023.59,0.0
36,SELL,-1,10001.09,10033.009999999998,0.0
38,SELL,-1,10001.09,10086.529999999999,0.0
41,SELL,-1,10001.09,10055.869999999999,0.304
42,CLOSE,0,10051.97,10051.97,0.3426
43,SELL,-1,10051.97,10051.919999999998,0.3431
44,SELL,-1,10051.97,10064.88,0.2146
45,SELL,-1,10051.97,10114.57,0.0
46,BUY,1,10186.039999999999,10185.989999999998,0.0
47,BUY,1,10186.039999999999,10184.169999999998,0.0179
49,SELL,-1,10251.91,10251.86,0.0
50,BUY,1,10276.869999999999,10276.82,0.0
53,SELL,-1,10277.439999999999,10277.39,0.0121
54,BUY,1,10288.379999999997,10288.329999999998,0.0
55,BUY,1,10288.379999999997,10293.759999999998,0.0
56,BUY,1,10288.379999999997,10306.729999999996,0.0
57,SELL,-1,10298.529999999997,10298.479999999996,0.08
58,CLOSE,0,10301.819999999996,10301.819999999996,0.0476
59,BUY,1,10301.819999999996,10301.769999999997,0.0481
61,BUY,1,10301.819999999996,10313.069999999996,0.003
62,SELL,-1,10328.679999999997,10328.629999999997,0.0
65,BUY,1,10336.659999999996,10336.609999999997,0.0429
68,BUY,1,10336.659999999996,10339.809999999996,0.0195
69,CLOSE,0,10338.909999999996,10338.909999999996,0.0282
70,SELL,-1,10338.909999999996,10338.859999999997,0.0287
72,BUY,1,10370.089999999997,10370.039999999997,0.0426
73,SELL,-1,10364.099999999997,10364.049999999996,0.1003
74,SELL,-1,10364.099999999997,10362.199999999997,0.1182
75,BUY,1,10382.549999999996,10382.499999999996,0.0
76,BUY,1,10382.549999999996,10385.109999999995,0.0
79,CLOSE,0,10420.289999999995,10420.289999999995,0.0
80,SELL,-1,10420.289999999995,10420.239999999994,0.0005
81,CLOSE,0,10427.259999999995,10427.259999999995,0.0
82,SELL,-1,10427.259999999995,10427.209999999995,0.0005
83,CLOSE,0,10433.909999999994,10433.909999999994,0.0
84,SELL,-1,10433.909999999994,10433.859999999993,0.0005
85,BUY,1,10432.969999999994,10432.919999999995,0.0095
86,SELL,-1,10440.359999999993,10440.309999999994,0.0
87,SELL,-1,10440.359999999993,10440.249999999993,0.0006
89,CLOSE,0,10443.889999999992,10443.889999999992,0.0
90,SELL,-1,10443.889999999992,10443.839999999993,0.0005
91,SELL,-1,10443.889999999992,10439.179999999993,0.0451
92,BUY,1,10496.349999999991,10496.299999999992,0.0
95,SELL,-1,10504.509999999991,10504.459999999992,0.0
96,SELL,-1,10504.509999999991,10508.57999999999,0.0
97,BUY,1,10523.44999999999,10523.39999999999,0.0
98,CLOSE,0,10530.43999999999,10530.43999999999,0.0
99,SELL,-1,10530.43999999999,10530.389999999989,0.0005
100,CLOSE,0,10543.19999999999,10543.19999999999,0.0
101,CLOSE,0,10543.19999999999,10543.19999999999,0.0
102,SELL,-1,10543.19999999999,10543.14999999999,0.0005
104,BUY,1,10556.58999999999,10556.53999999999,0.0
105,SELL,-1,10561.17999999999,10561.12999999999,0.0
108,BUY,1,10562.399999999989,10562.349999999988,0.0431
109,SELL,-1,10570.799999999988,10570.749999999989,0.0
110,SELL,-1,10570.799999999988,10584.169999999987,0.0
111,BUY,1,10588.199999999988,10588.149999999987,0.0
112,BUY,1,10588.199999999988,10601.099999999988,0.0
114,SELL,-1,10617.679999999988,10617.629999999986,0.0
115,CLOSE,0,10623.119999999988,10623.119999999988,0.0
116,CLOSE,0,10623.119999999988,10623.119999999988,0.0
117,SELL,-1,10623.119999999988,10623.069999999989,0.0005
120,CLOSE,0,10626.349999999988,10626.349999999988,0.0606
122,SELL,-1,10626.349999999988,10626.299999999988,0.061
123,BUY,1,10648.569999999987,10648.519999999986,0.0
124,SELL,-1,10650.879999999986,10650.829999999987,0.0
126,SELL,-1,10650.879999999986,10656.539999999986,0.0
127,SELL,-1,10650.879999999986,10660.349999999986,0.0
128,BUY,1,10668.869999999986,10668.819999999985,0.0
129,SELL,-1,10671.999999999985,10671.949999999986,0.0
130,BUY,1,10676.599999999984,10676.549999999985,0.0
131,BUY,1,10676.599999999984,10676.589999999984,0.0
132,BUY,1,10676.599999999984,10678.809999999983,0.0
134,SELL,-1,10765.449999999983,10765.399999999983,0.0
135,BUY,1,10770.619999999983,10770.569999999982,0.0
136,CLOSE,0,10777.309999999983,10777.309999999983,0.0
138,BUY,1,10777.309999999983,10777.259999999984,0.0005
139,BUY,1,10777.309999999983,10781.579999999984,0.0
140,SELL,-1,10787.299999999983,10787.249999999982,0.0
144,SELL,-1,10787.299999999983,10789.529999999982,0.038
145,SELL,-1,10787.299999999983,10794.519999999982,0.0
146,SELL,-1,10787.299999999983,10795.689999999984,0.0
147,SELL,-1,10787.299999999983,10803.329999999984,0.0
148,CLOSE,0,10808.129999999983,10808.129999999983,0.0
149,CLOSE,0,10808.129999999983,10808.129999999983,0.0
151,SELL,-1,10808.129999999983,10808.079999999984,0.0005
153,SELL,-1,10808.129999999983,10815.969999999983,0.0084
154,BUY,1,10819.809999999983,10819.759999999984,0.0
155,CLOSE,0,10847.339999999982,10847.339999999982,0.0
156,SELL,-1,10847.339999999982,10847.289999999983,0.0005
157,CLOSE,0,10853.629999999981,10853.629999999981,0.0
158,BUY,1,10853.629999999981,10853.57999999998,0.0005
159,SELL,-1,10856.25999999998,10856.209999999981,0.0
160,SELL,-1,10856.25999999998,10869.76999999998,0.0
162,CLOSE,0,10867.049999999981,10867.049999999981,0.0555
163,BUY,1,10867.049999999981,10866.999999999982,0.056
164,BUY,1,10867.049999999981,10870.449999999983,0.0243
165,CLOSE,0,10874.53999999998,10874.53999999998,0.0
166,BUY,1,10874.53999999998,10874.48999999998,0.0005
167,CLOSE,0,10880.14999999998,10880.14999999998,0.0
168,CLOSE,0,10880.14999999998,10880.14999999998,0.0
169,BUY,1,10880.14999999998,10880.09999999998,0.0005
170,BUY,1,10880.14999999998,10886.97999999998,0.0
171,SELL,-1,10888.409999999978,10888.359999999979,0.0
172,BUY,1,10894.749999999978,10894.699999999979,0.0
173,BUY,1,10894.749999999978,10898.409999999978,0.0
